unit_id,est_valuation_to_buyer,est_valuation_to_seller,est_renovation_cost,living_room_solar_direction,living_room_view_score,bedroom_view_score
273086,3490000.0,2253659.0,399840.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
273091,3620000.0,2110041.0,491347.0,"","",""
273094,0.0,0.0,0.0,West,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
273119,0.0,0.0,95906.0,NorthEast,3 - Híbrida entre 2 e 4,3 - Híbrida entre 2 e 4
273150,0.0,0.0,0.0,West,"5 - Grande respiro, com verde ou copa de árvores",""
273217,0.0,0.0,0.0,North,"2 - Emparedada para área social, apenas parede ou serviço se for bem conservado e limpo visualmente",3 - Híbrida entre 2 e 4
273236,0.0,0.0,0.0,"","",""
273249,0.0,0.0,344323.0,SouthEast,"4 - Com respiro, porém com vista predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
273253,1575000.0,957553.0,271966.0,SouthEast,"4 - Com respiro, porém com vista predominantemente urbana",3 - Híbrida entre 2 e 4
273264,1955000.0,1370410.0,271966.0,SouthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
273265,0.0,0.0,0.0,SouthEast,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
273266,0.0,0.0,0.0,"","",""
273267,1940000.0,1282130.0,271966.0,SouthEast,"4 - Com respiro, porém com vista predominantemente urbana",3 - Híbrida entre 2 e 4
273272,1960000.0,1298272.0,271966.0,South,"6 - Vista alta e distante, predominantemente urbana","6 - Vista alta e distante, predominantemente urbana"
273274,1970000.0,1203325.0,298662.0,West,"6 - Vista alta e distante, predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
273302,1090000.0,731813.0,141630.0,NorthEast,"6 - Vista alta e distante, predominantemente urbana","6 - Vista alta e distante, predominantemente urbana"
273310,1145000.0,784576.0,141630.0,NorthEast,"6 - Vista alta e distante, predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
273315,1195000.0,814532.0,141630.0,East,"6 - Vista alta e distante, predominantemente urbana","6 - Vista alta e distante, predominantemente urbana"
273328,0.0,0.0,0.0,"","",""
273337,0.0,0.0,0.0,"","",""
273340,1650000.0,1081493.0,283160.0,East,"5 - Grande respiro, com verde ou copa de árvores",3 - Híbrida entre 2 e 4
273348,1665000.0,1112220.0,0.0,East,"6 - Vista alta e distante, predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
273523,0.0,0.0,62577.0,West,"5 - Grande respiro, com verde ou copa de árvores",""
273587,0.0,0.0,225271.0,SouthEast,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
273596,0.0,0.0,0.0,NorthWest,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
273599,1935000.0,1335983.0,208421.0,SouthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
